"state","class","gender","age","paid","logpaid"
"STATE 14","C6 ","M",97,1134.44,7.0338944160871
"STATE 15","C6 ","M",96,3761.24,8.23250396925012
"STATE 15","C11","M",95,7842.31,8.96728871280291
"STATE 15","F6 ","F",95,2384.67,7.77681602896928
"STATE 15","F6 ","M",95,650,6.47697236288968
"STATE 15","F6 ","M",95,391.12,5.96901441827039
"STATE 15","C11","M",94,3775.83,8.23637550506547
"STATE 10","C6 ","M",94,415.35,6.02912153828508
"STATE 14","C11","M",93,2283.56,7.73349090773421
"STATE 03","C11","M",93,665.48,6.50050858479154
"STATE 02","C6 ","M",93,414,6.02586597382531
"STATE 14","F11","M",93,285.94,5.65578199860102
"STATE 15","F6 ","M",92,3488.99,8.15736757503191
"STATE 14","C6 ","M",92,2428,7.79482315217939
"STATE 15","C6 ","F",92,2049.26,7.62523403135532
"STATE 07","C6 ","F",92,1129.89,7.0298755618353
"STATE 02","C11","F",92,654,6.4831073514572
"STATE 03","C11","M",92,366.28,5.90339806823953
"STATE 14","F6 ","F",92,132.5,4.88658264542628
"STATE 15","C11","M",91,3890.07,8.2661824313092
"STATE 15","C11","M",91,2927.76,7.98199290450859
"STATE 15","C6 ","M",91,2345.71,7.76034340690924
"STATE 15","C11","M",91,984.89,6.89252995980905
"STATE 04","C11","F",91,438.04,6.08231023040756
"STATE 04","C6 ","M",91,295.99,5.69032566996959
"STATE 15","C6 ","M",91,268.5,5.59285091394892
"STATE 02","C11","M",90,11756.34,9.37214794852243
"STATE 03","C6 ","F",90,8693.25,9.07030214143696
"STATE 15","F6 ","M",90,7261.51,8.89034307517285
"STATE 15","C6 ","F",90,5663.66,8.6418256053232
"STATE 02","C11","M",90,3746.15,8.22848392491457
"STATE 01","F6 ","M",90,2607.82,7.86626990225976
"STATE 01","C6 ","F",90,2402,7.78405700263993
"STATE 07","C6 ","F",90,2342.32,7.7588971701783
"STATE 17","C6 ","F",90,2104.31,7.65174290140741
"STATE 15","C11","M",90,1882.33,7.54026565015138
"STATE 15","C6 ","M",90,1418,7.25700270709207
"STATE 01","C6 ","M",90,1400,7.24422751560335
"STATE 15","C6 ","M",90,1103.32,7.00607909503783
"STATE 15","C11","M",90,1092.1,6.99585772720368
"STATE 15","C1 ","M",90,1038.88,6.94589848876018
"STATE 02","C11","M",90,1013.06,6.92073073250453
"STATE 01","C11","M",90,802.91,6.68824262796424
"STATE 04","C11","M",90,656.54,6.48698362105658
"STATE 07","C6 ","F",90,296.97,5.69363112359983
"STATE 15","C6 ","M",90,267.43,5.5888578498483
"STATE 15","C1 ","F",90,249.1,5.51785442226813
"STATE 15","C1 ","F",90,187.79,5.23532431722011
"STATE 17","C6 ","M",89,59113.78,10.9872193403443
"STATE 15","C11","F",89,3681.48,8.21107012422577
"STATE 14","F1 ","M",89,2836.69,7.9503931584824
"STATE 15","C6 ","M",89,2495.7,7.82232452995795
"STATE 04","C11","F",89,2250,7.71868549519847
"STATE 15","C6 ","M",89,1903.21,7.55129721328348
"STATE 03","C11","M",89,1678.27,7.42551877992348
"STATE 15","C6 ","F",89,1553.42,7.34821423088657
"STATE 17","C11","F",89,1157.42,7.05394866910103
"STATE 15","C11","M",89,1074.51,6.97962002269352
"STATE 15","C6 ","M",89,935.26,6.84082456549935
"STATE 17","C11","F",89,915.77,6.81976524144227
"STATE 15","C11","F",89,877.24,6.7767806151393
"STATE 07","C6 ","M",89,854.67,6.75071542952085
"STATE 02","C6 ","M",89,785.25,6.66600213841876
"STATE 06","C6 ","M",89,645.46,6.46996324089955
"STATE 15","C6 ","M",89,580.67,6.36418260925599
"STATE 03","C11","M",89,487.7,6.18970046271601
"STATE 06","C6 ","M",89,479.37,6.17247274181941
"STATE 04","C11","F",89,328.09,5.79328796098993
"STATE 15","C6 ","M",89,275,5.61677109766657
"STATE 04","F6 ","M",89,264.13,5.57644140618771
"STATE 15","C11","M",89,55,4.00733318523247
"STATE 03","C11","M",88,14833.3,9.60462993229268
"STATE 17","C11","F",88,3909.14,8.27107267993801
"STATE 12","C6 ","F",88,3876.6,8.26271375979218
"STATE 15","C6 ","M",88,3845,8.25452888193974
"STATE 15","C6 ","M",88,3106.54,8.04126484564812
"STATE 04","C11","F",88,3025,8.01466637046494
"STATE 15","C6 ","F",88,2750,7.91935619066062
"STATE 06","C6 ","F",88,2612.74,7.86815475808235
"STATE 02","C11","M",88,2057.77,7.62937815115918
"STATE 15","C6 ","M",88,1861.25,7.52900358399822
"STATE 15","C11","M",88,1773.92,7.48094706602404
"STATE 15","C6 ","M",88,1500,7.3132203870903
"STATE 15","F6 ","M",88,1259.89,7.13877969454722
"STATE 17","C6 ","M",88,1250.85,7.1315785992011
"STATE 15","C1 ","F",88,1146.25,7.04425102357067
"STATE 12","C6 ","M",88,1030.83,6.93811958196356
"STATE 04","C1 ","M",88,1008,6.91572344863131
"STATE 15","C6 ","M",88,900,6.80239476332431
"STATE 15","C6 ","F",88,825.2,6.7156257811971
"STATE 15","C11","M",88,824.85,6.71520155162193
"STATE 03","C11","M",88,672.2,6.51055591529101
"STATE 04","C11","M",88,669.5,6.50653116513123
"STATE 15","F6 ","F",88,664.34,6.49879406661726
"STATE 15","C11","M",88,646.08,6.47092333512447
"STATE 17","C6 ","M",88,641.15,6.46326343890513
"STATE 04","C11","M",88,586.43,6.37405330888184
"STATE 15","C11","M",88,581.64,6.36585169964528
"STATE 02","C11","M",88,428.97,6.06138698641287
"STATE 14","C11","M",88,408.39,6.01222260019249
"STATE 02","C6 ","F",87,8594.93,9.05892777351386
"STATE 07","C6 ","M",87,5664.35,8.64194742724971
"STATE 15","C6 ","M",87,4494.59,8.41062973028732
"STATE 06","C1 ","M",87,4330.29,8.37338979334968
"STATE 17","C11","F",87,4235.53,8.35126374683554
"STATE 15","F6 ","M",87,3953.84,8.28244253756028
"STATE 03","C11","M",87,3841.66,8.25365984383732
"STATE 15","C6 ","M",87,3584.5,8.18437427329293
"STATE 02","C11","M",87,3121.37,8.04602728699031
"STATE 15","C6 ","M",87,2730.03,7.91206787712962
"STATE 04","C6 ","F",87,2700.03,7.9010181630418
"STATE 15","C11","M",87,2434.85,7.79764043197652
"STATE 15","F6 ","M",87,1812.46,7.50244031751979
"STATE 15","C11","F",87,1683.52,7.42864211854244
"STATE 15","C6 ","F",87,1665.51,7.41788666181865
"STATE 15","C11","M",87,1414.2,7.25431927917014
"STATE 15","C11","M",87,1250.4,7.13121877910727
"STATE 15","F6 ","M",87,1145.95,7.04398926630542
"STATE 10","C11","M",87,1015.02,6.92266359571526
"STATE 04","C6 ","M",87,897.81,6.79995846462396
"STATE 17","F6 ","M",87,865.9,6.76376942845376
"STATE 15","C6 ","M",87,800.16,6.68481170767059
"STATE 17","C11","M",87,711.34,6.5671505152209
"STATE 15","C6 ","F",87,705,6.55819780281227
"STATE 03","F1 ","M",87,670.34,6.50778504635593
"STATE 15","C11","F",87,580,6.36302810354046
"STATE 15","C6 ","F",87,540.07,6.29169876078676
"STATE 01","C6 ","M",87,532.04,6.2767186744851
"STATE 13","C11","F",87,528.32,6.26970216073176
"STATE 07","C11","M",87,518.55,6.25103645503574
"STATE 03","C11","F",87,470.77,6.15436965203043
"STATE 15","C6 ","F",87,245.82,5.50459956078683
"STATE 17","C6 ","F",87,239.37,5.4780104719883
"STATE 15","C6 ","M",87,206.1,5.32836148789641
"STATE 07","C11","M",87,78.34,4.36105832823768
"STATE 15","C6 ","M",87,30,3.40119738166216
"STATE 15","C6 ","F",86,6384,8.76155013912964
"STATE 04","C6 ","F",86,4623.97,8.43900892244189
"STATE 15","C6 ","M",86,4467.92,8.40467825492584
"STATE 13","C1 ","M",86,3266.49,8.09147129289544
"STATE 04","F6 ","M",86,2798.26,7.9367530744251
"STATE 15","F6 ","M",86,2500,7.82404601085629
"STATE 15","C6 ","M",86,2474.4,7.81375322137086
"STATE 17","C11","F",86,2090.07,7.64495283722095
"STATE 15","C6 ","M",86,2031.61,7.61658386114376
"STATE 10","C11","F",86,1973.82,7.58772603042545
"STATE 15","C6 ","F",86,1892.19,7.54549016740277
"STATE 15","C6 ","M",86,1887.92,7.54323097292633
"STATE 02","C11","M",86,1702.24,7.43970030976806
"STATE 10","C6 ","F",86,1541.1,7.34025172614133
"STATE 15","C6 ","M",86,1354.93,7.21150507146275
"STATE 02","F6 ","F",86,1302.65,7.17215593014455
"STATE 04","F6 ","M",86,1302.13,7.17175666417436
"STATE 02","C11","M",86,1263.51,7.14164884132008
"STATE 15","C6 ","M",86,1092.8,6.99649848881653
"STATE 02","F6 ","F",86,1045,6.95177216439891
"STATE 02","C11","M",86,1008.53,6.91624910410106
"STATE 15","C6 ","M",86,879.3,6.77912613638496
"STATE 04","C11","M",86,811.51,6.69889670973762
"STATE 15","C6 ","F",86,701.52,6.5532494094711
"STATE 02","C11","M",86,625.52,6.43858330381626
"STATE 17","C11","M",86,557.18,6.32288834750697
"STATE 15","F6 ","M",86,519.75,6.25334792673812
"STATE 02","F6 ","F",86,499.59,6.21378776203829
"STATE 02","C1 ","M",86,499.28,6.21316706062579
"STATE 15","F11","M",86,484.03,6.18214688826681
"STATE 15","F6 ","F",86,435,6.07534603108868
"STATE 02","F11","M",86,402.32,5.99724779186371
"STATE 17","F6 ","F",86,376,5.92958914338989
"STATE 15","C6 ","F",86,365.26,5.9006094287639
"STATE 15","C6 ","F",86,357,5.87773578177964
"STATE 03","C6 ","M",86,351.38,5.86186825893691
"STATE 14","C6 ","M",86,333.37,5.80925298426447
"STATE 04","F6 ","M",86,329.16,5.79654395473751
"STATE 17","C6 ","F",86,322.34,5.77560688909457
"STATE 03","C11","F",86,318.07,5.76227148434221
"STATE 15","C6 ","F",86,239.4,5.47813579312387
"STATE 14","C11","M",86,196.1,5.2786247332023
"STATE 01","C6 ","M",86,122.41,4.80737606608742
"STATE 15","C6 ","F",86,71.19,4.26535235911578
"STATE 15","C6 ","F",85,12234.82,9.41204126387644
"STATE 17","C11","M",85,10829.25,9.29000608551944
"STATE 14","C6 ","F",85,10630.81,9.27151166786852
"STATE 01","C11","M",85,10524.64,9.26147445369007
"STATE 15","F6 ","M",85,7238.13,8.88711816472504
