date,exhkus,exeuus
04/01/05,7.7989,0.7754
04/04/05,7.7991,0.7789
04/05/05,7.7995,0.7787
04/06/05,7.7993,0.7771
04/07/05,7.799,0.7748
04/08/05,7.7989,0.7745
04/11/05,7.799,0.7709
04/12/05,7.7991,0.7768
04/13/05,7.7989,0.7741
04/14/05,7.7987,0.7801
04/15/05,7.7984,0.7735
04/18/05,7.799,0.767
04/19/05,7.799,0.7672
04/20/05,7.7994,0.7645
04/21/05,7.7992,0.7638
04/22/05,7.7956,0.7652
04/25/05,7.7959,0.7702
04/26/05,7.7981,0.7714
04/27/05,7.7988,0.7729
04/28/05,7.7989,0.7742
04/29/05,7.7946,0.7741
05/02/05,7.7963,0.7778
05/03/05,7.7952,0.7759
05/04/05,7.7937,0.773
05/05/05,7.7915,0.773
05/06/05,7.7929,0.7793
05/09/05,7.797,0.7789
05/10/05,7.7984,0.7766
05/11/05,7.798,0.7811
05/12/05,7.7977,0.787
05/13/05,7.7984,0.7908
05/16/05,7.7992,0.7918
05/17/05,7.7995,0.7909
05/18/05,7.794,0.7899
05/19/05,7.7928,0.7919
05/20/05,7.7905,0.7966
05/23/05,7.7861,0.7952
05/24/05,7.7803,0.7944
05/25/05,7.7816,0.7935
05/26/05,7.7811,0.7989
05/27/05,7.7767,0.7957
05/31/05,7.7788,0.8098
06/01/05,7.7842,0.8175
06/02/05,7.7833,0.8153
06/03/05,7.7821,0.8179
06/06/05,7.781,0.8151
06/07/05,7.7806,0.8145
06/08/05,7.7802,0.8117
06/09/05,7.7806,0.8186
06/10/05,7.7781,0.8246
06/13/05,7.7754,0.8309
06/14/05,7.7737,0.8307
06/15/05,7.7735,0.826
06/16/05,7.7747,0.8272
06/17/05,7.7735,0.817
06/20/05,7.7737,0.8237
06/21/05,7.7711,0.8241
06/22/05,7.7692,0.8244
06/23/05,7.7703,0.8296
06/24/05,7.7719,0.8273
06/27/05,7.7712,0.8229
06/28/05,7.7711,0.828
06/29/05,7.7705,0.8264
06/30/05,7.7719,0.8266
07/01/05,7.7718,0.8363
07/05/05,7.7718,0.8391
07/06/05,7.7729,0.8391
07/07/05,7.7728,0.8384
07/08/05,7.7739,0.8379
07/11/05,7.7776,0.8288
07/12/05,7.7787,0.8197
07/13/05,7.7792,0.8271
07/14/05,7.7773,0.8272
07/15/05,7.7772,0.8308
07/18/05,7.776,0.828
07/19/05,7.777,0.8333
07/20/05,7.7777,0.8302
07/21/05,7.7685,0.8256
07/22/05,7.7733,0.8279
07/25/05,7.7732,0.8296
07/26/05,7.7764,0.8328
07/27/05,7.7773,0.83
07/28/05,7.7743,0.825
07/29/05,7.7744,0.8245
08/01/05,7.7722,0.82
08/02/05,7.7722,0.8191
08/03/05,7.7712,0.8106
08/04/05,7.7729,0.8076
08/05/05,7.7711,0.8112
08/08/05,7.7709,0.809
08/09/05,7.7713,0.8099
08/10/05,7.7693,0.81
08/11/05,7.7687,0.8042
08/12/05,7.7691,0.8046
08/15/05,7.7684,0.8089
08/16/05,7.7714,0.8102
08/17/05,7.7713,0.8137
08/18/05,7.7692,0.8212
08/19/05,7.7711,0.8232
08/22/05,7.771,0.8173
08/23/05,7.7734,0.8188
08/24/05,7.7733,0.8171
08/25/05,7.7709,0.8123
08/26/05,7.7688,0.8114
08/29/05,7.7691,0.8165
08/30/05,7.771,0.8194
08/31/05,7.7718,0.811
09/01/05,7.7693,0.8034
09/02/05,7.767,0.7976
09/06/05,7.7673,0.8011
09/07/05,7.7671,0.8039
09/08/05,7.7659,0.8065
09/09/05,7.7645,0.8043
09/12/05,7.7615,0.8138
09/13/05,7.7609,0.8155
09/14/05,7.7596,0.8142
09/15/05,7.7591,0.8186
09/16/05,7.7607,0.8187
09/19/05,7.7612,0.8228
09/20/05,7.7617,0.8212
09/21/05,7.7617,0.8191
09/22/05,7.7604,0.8228
09/23/05,7.7591,0.828
09/26/05,7.7575,0.8308
09/27/05,7.7575,0.8326
09/28/05,7.7595,0.8322
09/29/05,7.7593,0.8319
09/30/05,7.7567,0.8293
10/03/05,7.7574,0.8393
10/04/05,7.7563,0.8391
10/05/05,7.7556,0.8344
10/06/05,7.7555,0.8242
10/07/05,7.7545,0.8254
10/11/05,7.7579,0.8323
10/12/05,7.7581,0.8306
10/13/05,7.7583,0.8377
10/14/05,7.7565,0.8283
10/17/05,7.7571,0.8306
10/18/05,7.7586,0.8376
10/19/05,7.7587,0.8342
10/20/05,7.7587,0.8346
10/21/05,7.7543,0.8363
10/24/05,7.7549,0.8335
10/25/05,7.7546,0.8265
10/26/05,7.7535,0.8277
10/27/05,7.7535,0.8232
10/28/05,7.7529,0.8272
10/31/05,7.7519,0.8337
11/01/05,7.7514,0.8335
11/02/05,7.7526,0.8287
11/03/05,7.7524,0.8354
11/04/05,7.7523,0.8455
11/07/05,7.7521,0.8478
11/08/05,7.7539,0.8494
11/09/05,7.757,0.8512
11/10/05,7.7553,0.8518
11/14/05,7.7559,0.8571
11/15/05,7.7555,0.8551
11/16/05,7.7555,0.8568
11/17/05,7.7535,0.8543
11/18/05,7.7527,0.8517
11/21/05,7.7534,0.8522
11/22/05,7.7532,0.852
11/23/05,7.7522,0.8475
11/25/05,7.754,0.853
11/28/05,7.7536,0.8472
11/29/05,7.7539,0.8485
11/30/05,7.7546,0.8482
12/01/05,7.7548,0.8546
12/02/05,7.7544,0.8548
12/05/05,7.7534,0.8484
12/06/05,7.754,0.8486
12/07/05,7.754,0.8531
12/08/05,7.7539,0.8453
12/09/05,7.7541,0.8457
12/12/05,7.7534,0.8355
12/13/05,7.7532,0.8385
12/14/05,7.7528,0.8305
12/15/05,7.7526,0.8358
12/16/05,7.7518,0.8325
12/19/05,7.7516,0.8336
12/20/05,7.7518,0.844
12/21/05,7.752,0.8463
12/22/05,7.7523,0.8415
12/23/05,7.7525,0.8434
12/27/05,7.7528,0.8435
12/28/05,7.7525,0.8421
12/29/05,7.7531,0.8442
12/30/05,7.7533,0.8445
01/03/06,7.7535,0.8347
01/04/06,7.7533,0.8271
01/05/06,7.7534,0.8264
01/06/06,7.7531,0.8232
01/09/06,7.7507,0.8289
01/10/06,7.7506,0.829
01/11/06,7.7509,0.8241
01/12/06,7.7511,0.8309
01/13/06,7.7513,0.8262
01/17/06,7.7535,0.8283
01/18/06,7.7533,0.8276
01/19/06,7.7535,0.8258
01/20/06,7.7545,0.8264
01/23/06,7.7541,0.8146
01/24/06,7.7554,0.8139
01/25/06,7.7566,0.8162
01/26/06,7.7561,0.8177
01/27/06,7.7565,0.8244
01/30/06,7.7571,0.8271
01/31/06,7.7561,0.8225
02/01/06,7.7569,0.827
02/02/06,7.7564,0.8264
02/03/06,7.757,0.8319
02/06/06,7.7579,0.8354
02/07/06,7.759,0.8351
02/08/06,7.7618,0.8379
02/09/06,7.7613,0.8359
02/10/06,7.759,0.8389
02/13/06,7.7594,0.84
02/14/06,7.7604,0.8407
02/15/06,7.7612,0.8415
02/16/06,7.7603,0.8416
02/17/06,7.7604,0.8399
02/21/06,7.761,0.8395
02/22/06,7.7611,0.84
02/23/06,7.7587,0.8387
02/24/06,7.758,0.8416
02/27/06,7.758,0.8432
02/28/06,7.7584,0.8386
03/01/06,7.7574,0.8404
03/02/06,7.7574,0.8331
03/03/06,7.7587,0.8314
03/06/06,7.7587,0.8332
03/07/06,7.7607,0.8412
03/08/06,7.7609,0.8393
03/09/06,7.7608,0.8389
03/10/06,7.762,0.8413
03/13/06,7.759,0.8374
03/14/06,7.7578,0.8316
03/15/06,7.7583,0.8302
03/16/06,7.757,0.823
03/17/06,7.7573,0.8199
03/20/06,7.7585,0.8218
03/21/06,7.7594,0.8279
03/22/06,7.7599,0.8268
03/23/06,7.7591,0.8344
03/24/06,7.7591,0.831
03/27/06,7.759,0.8323
03/28/06,7.759,0.828
03/29/06,7.7598,0.8313
03/30/06,7.7595,0.8243
03/31/06,7.7597,0.8238
04/03/06,7.7598,0.8248
04/04/06,7.7591,0.8158
04/05/06,7.7589,0.8149
04/06/06,7.7579,0.8186
04/07/06,7.7557,0.8258
04/10/06,7.7564,0.8271
04/11/06,7.7589,0.8247
04/12/06,7.7582,0.826
04/13/06,7.7575,0.826
04/14/06,7.7569,0.826
04/17/06,7.7565,0.8152
04/18/06,7.7556,0.8147
04/19/06,7.7539,0.81
04/20/06,7.7544,0.8113
04/21/06,7.7542,0.8104
04/24/06,7.753,0.8082
04/25/06,7.7537,0.8057
04/26/06,7.7548,0.8023
04/27/06,7.7544,0.7984
04/28/06,7.7529,0.7921
05/01/06,7.7527,0.7932
05/02/06,7.7536,0.7909
05/03/06,7.7526,0.7912
05/04/06,7.7521,0.7884
05/05/06,7.7518,0.7854
05/08/06,7.751,0.7862
05/09/06,7.7517,0.7845
05/10/06,7.7517,0.7813
05/11/06,7.7526,0.7779
05/12/06,7.7532,0.7759
05/15/06,7.7531,0.7797
05/16/06,7.7531,0.7802
05/17/06,7.7534,0.786
05/18/06,7.7541,0.7816
05/19/06,7.7554,0.7843
05/22/06,7.7537,0.7782
05/23/06,7.7553,0.7786
05/24/06,7.7559,0.7845
05/25/06,7.7567,0.7827
05/26/06,7.7562,0.785
05/30/06,7.7575,0.7771
05/31/06,7.7567,0.7792
06/01/06,7.7578,0.7798
06/02/06,7.7581,0.7745
06/05/06,7.7586,0.772
06/06/06,7.7596,0.7795
06/07/06,7.7617,0.7813
06/08/06,7.7619,0.7906
06/09/06,7.7611,0.7914
06/12/06,7.7607,0.7945
06/13/06,7.7624,0.7953
06/14/06,7.7621,0.7917
06/15/06,7.7617,0.7926
06/16/06,7.7643,0.7922
06/19/06,7.766,0.7951
06/20/06,7.7666,0.7957
06/21/06,7.7665,0.7896
06/22/06,7.766,0.7948
06/23/06,7.7684,0.7986
06/26/06,7.7675,0.7966
06/27/06,7.7661,0.7943
06/28/06,7.7678,0.798
06/29/06,7.7675,0.7978
06/30/06,7.7666,0.7825
07/03/06,7.767,0.7817
07/05/06,7.7715,0.7858
07/06/06,7.7709,0.7839
