"","MIDPARNT","CHILD","PARENTC","CHILDC"
"103",1,12,74.5,72.19999695
"104",1,13,74.5,73.19999695
"105",1,13,74.5,73.19999695
"106",1,13,74.5,73.19999695
"107",2,8,73.5,68.19999695
"108",2,9,73.5,69.19999695
"109",2,9,73.5,69.19999695
"110",2,10,73.5,70.19999695
"111",2,11,73.5,71.19999695
"112",2,11,73.5,71.19999695
"113",2,12,73.5,72.19999695
"114",2,12,73.5,72.19999695
"115",2,12,73.5,72.19999695
"116",2,12,73.5,72.19999695
"117",2,12,73.5,72.19999695
"118",2,12,73.5,72.19999695
"119",2,12,73.5,72.19999695
"120",2,13,73.5,73.19999695
"121",2,13,73.5,73.19999695
"122",2,14,73.5,74.19999695
"123",2,14,73.5,74.19999695
"124",2,14,73.5,74.19999695
"125",2,14,73.5,74.19999695
"126",3,5,72.5,65.19999695
"127",3,6,72.5,66.19999695
"128",3,6,72.5,66.19999695
"129",3,6,72.5,66.19999695
"130",3,7,72.5,67.19999695
"131",3,7,72.5,67.19999695
"132",3,7,72.5,67.19999695
"133",3,7,72.5,67.19999695
"134",3,8,72.5,68.19999695
"135",3,8,72.5,68.19999695
"136",3,8,72.5,68.19999695
"137",3,9,72.5,69.19999695
"138",3,9,72.5,69.19999695
"139",3,9,72.5,69.19999695
"140",3,9,72.5,69.19999695
"141",3,9,72.5,69.19999695
"142",3,10,72.5,70.19999695
"143",3,10,72.5,70.19999695
"144",3,10,72.5,70.19999695
"145",3,10,72.5,70.19999695
"146",3,10,72.5,70.19999695
"147",3,10,72.5,70.19999695
"148",3,10,72.5,70.19999695
"149",3,10,72.5,70.19999695
"150",3,10,72.5,70.19999695
"151",3,10,72.5,70.19999695
"152",3,11,72.5,71.19999695
"153",3,11,72.5,71.19999695
"154",3,11,72.5,71.19999695
"155",3,11,72.5,71.19999695
"156",3,12,72.5,72.19999695
"157",3,12,72.5,72.19999695
"158",3,12,72.5,72.19999695
"159",3,12,72.5,72.19999695
"160",3,12,72.5,72.19999695
"161",3,12,72.5,72.19999695
"162",3,12,72.5,72.19999695
"163",3,12,72.5,72.19999695
"164",3,12,72.5,72.19999695
"165",3,13,72.5,73.19999695
"166",3,13,72.5,73.19999695
"167",3,14,72.5,74.19999695
"168",3,14,72.5,74.19999695
"169",4,1,71.5,61.20000076
"170",4,3,71.5,63.20000076
"171",4,5,71.5,65.19999695
"172",4,6,71.5,66.19999695
"173",4,7,71.5,67.19999695
"174",4,7,71.5,67.19999695
"175",4,7,71.5,67.19999695
"176",4,8,71.5,68.19999695
"177",4,8,71.5,68.19999695
"178",4,8,71.5,68.19999695
"179",4,8,71.5,68.19999695
"180",4,8,71.5,68.19999695
"181",4,8,71.5,68.19999695
"182",4,8,71.5,68.19999695
"183",4,8,71.5,68.19999695
"184",4,8,71.5,68.19999695
"185",4,8,71.5,68.19999695
"186",4,8,71.5,68.19999695
"187",4,8,71.5,68.19999695
"188",4,9,71.5,69.19999695
"189",4,9,71.5,69.19999695
"190",4,9,71.5,69.19999695
"191",4,9,71.5,69.19999695
"192",4,9,71.5,69.19999695
"193",4,9,71.5,69.19999695
"194",4,9,71.5,69.19999695
"195",4,9,71.5,69.19999695
"196",4,9,71.5,69.19999695
"197",4,9,71.5,69.19999695
"198",4,9,71.5,69.19999695
"199",4,9,71.5,69.19999695
"200",4,9,71.5,69.19999695
