DATE,EXHKUS,EXEUROUS
1-Apr-05,7.7989,0.7754
4-Apr-05,7.7991,0.7789
5-Apr-05,7.7995,0.7787
6-Apr-05,7.7993,0.7771
7-Apr-05,7.7990,0.7748
8-Apr-05,7.7989,0.7745
11-Apr-05,7.7990,0.7709
12-Apr-05,7.7991,0.7768
13-Apr-05,7.7989,0.7741
14-Apr-05,7.7987,0.7801
15-Apr-05,7.7984,0.7735
18-Apr-05,7.7990,0.7670
19-Apr-05,7.7990,0.7672
20-Apr-05,7.7994,0.7645
21-Apr-05,7.7992,0.7638
22-Apr-05,7.7956,0.7652
25-Apr-05,7.7959,0.7702
26-Apr-05,7.7981,0.7714
27-Apr-05,7.7988,0.7729
28-Apr-05,7.7989,0.7742
29-Apr-05,7.7946,0.7741
2-May-05,7.7963,0.7778
3-May-05,7.7952,0.7759
4-May-05,7.7937,0.7730
5-May-05,7.7915,0.7730
6-May-05,7.7929,0.7793
9-May-05,7.7970,0.7789
10-May-05,7.7984,0.7766
11-May-05,7.7980,0.7811
12-May-05,7.7977,0.7870
13-May-05,7.7984,0.7908
16-May-05,7.7992,0.7918
17-May-05,7.7995,0.7909
18-May-05,7.7940,0.7899
19-May-05,7.7928,0.7919
20-May-05,7.7905,0.7966
23-May-05,7.7861,0.7952
24-May-05,7.7803,0.7944
25-May-05,7.7816,0.7935
26-May-05,7.7811,0.7989
27-May-05,7.7767,0.7957
31-May-05,7.7788,0.8098
1-Jun-05,7.7842,0.8175
2-Jun-05,7.7833,0.8153
3-Jun-05,7.7821,0.8179
6-Jun-05,7.7810,0.8151
7-Jun-05,7.7806,0.8145
8-Jun-05,7.7802,0.8117
9-Jun-05,7.7806,0.8186
10-Jun-05,7.7781,0.8246
13-Jun-05,7.7754,0.8309
14-Jun-05,7.7737,0.8307
15-Jun-05,7.7735,0.8260
16-Jun-05,7.7747,0.8272
17-Jun-05,7.7735,0.8170
20-Jun-05,7.7737,0.8237
21-Jun-05,7.7711,0.8241
22-Jun-05,7.7692,0.8244
23-Jun-05,7.7703,0.8296
24-Jun-05,7.7719,0.8273
27-Jun-05,7.7712,0.8229
