COMPANY,TICKER,RETURN,REV,LnREV,PRICEIPO
Inktomi Corp.,INKT,4.333333333,5.785,1.755268361,18
IBS Interactive,IBSX,2.458333333,2.741,1.008322817,6
Frontline Communications Corp.,FCCN,2.09375,0.098699,-2.315680464,4
MIPS Technologies,MIPS,2.080357143,40.307,3.696525151,14
Broadcom Corp.,BRCM,1.921875,36.955,3.609700956,24
"American Xtal Technology, Inc.",AXTI,1.65,25.335,3.232186839,10
Rock Financial,RCCK,1.6,52.11,3.953356869,10
Cognizant Technology Solutions Corp,CTSH,1.375,24.744,3.208583035,10
Waste Connections,WCNX,1.369791667,35.013,3.555719421,12
L-3 Communications Holding,LLL,1.363636364,894,6.795705775,22
"Exodus Communications, Inc.",EXDS,1.35,12.408,2.518341426,15
Netgravity,NETG,1.326388889,6.358,1.849713862,9
"Answerthink Consulting Group, Inc.",ANSR,1.028846154,34.014,3.526772205,13
"Bebe Stores, Inc.",BEBE,1.022727273,95.086,4.554781745,11
Professional Detailing,PDII,1.014423077,54.674,4.001388277,16
Microstrategy,MSTR,0.927083333,53.557,3.980746507,12
"Adirondack Financial Services Bancorp, Inc.",AFSB,0.925,4.905,1.590255093,10
MGC Communications,MGCX,0.889705882,3.791,1.332629837,17
"Com21, Inc.",CMTO,0.791666667,15.649,2.750407017,12
Factual Data Corp.,FDCC,0.749441964,3.52,1.25846099,5.6
ISS Group,ISSX,0.717329546,13.467,2.600242248,22
Young & Rubicam,YNR,0.7025,1382.74,7.231822317,25
US Lec,CLEC,0.579166667,6.457661,1.865267178,15
Verio,VRIO,0.524456522,35.692,3.574926574,23
"American Aircarriers Support, Inc.",AIRS,0.52,13.25,2.583997552,6.25
International Integration Inc.,ICUB,0.489583333,,,12
Innotract Corp.,INOC,0.447916667,87.978,4.477086783,12
Provant,POVT,0.413461539,68.846,4.231872126,13
Global Imaging Systems,GISX,0.395833333,215.377,5.372389981,12
Charles River Associates Inc.,CRAI,0.385135135,44.805,3.80231974,18.5
Capstar Broadcasting Corp.,CRB,0.319078947,175.445,5.167325603,19
Resortquest International,RZT,0.318181818,56.819,4.039870777,11
Cunningham Graphics Int'l Inc.,CGII,0.307692308,42.705,3.754316009,13
"Brio Technology, Inc.",BRYO,0.272727273,13.386,2.594209385,11
Cumulus Media Inc.,CMLS,0.196428571,111.776,4.716496869,14
King Pharmaceuticals,KING,0.193080357,123.062,4.812688293,14
"Cleveland Indians Baseball Co., Inc.",CLEV,0.191666667,140.03,4.941856685,15
Rainbow Petals,RBOW,0.1875,55.328,4.01327911,10
Unigraphics Solutions,UGS,0.178571429,349.811,5.857393009,14
Ophidian Pharmaceuticals,OPHD,0.147540984,0.671881,-0.397674038,6.1
School Specialty,SCHS,0.141129032,191.746,5.25617158,15.5
"CDNow, Inc.",CDNW,0.09375,17.372795,2.854905477,16
First Kansas Financial Corporation,FKAN,0.06875,6.895,1.930796511,10
Ziff-Davis,ZDF,0.032258065,1154,7.050989447,15.5
Standard Automotive,AJX,0.025,22.356,3.107094741,10
Reltec,RLT,0.010775862,887.2,6.788070436,29
Heller Financial,HF,0.00462963,408,6.011267174,27
Happy Kids,HKID,0,106.673,4.66976808,10
Mobius Management Systems,MOBI,-0.034482759,41.327,3.721516039,14.5
Federated Investors,FII,-0.048611111,403.719,6.000719091,18
Marinemax,HZO,-0.06,188.419,5.238668206,12.5
ATG Inc.,ATGC,-0.066176471,19.107,2.95005476,8.5
"European Micro Holdings, Inc.",EMCC,-0.1,46.655,3.842780103,10
"Amkor Technology, Inc.",AMKR,-0.113636364,1455.761,7.283284067,11
Washington Banking,WBCO,-0.119791667,7.543,2.020619981,12
Hastings Entertainment,HAST,-0.125,357.765,5.879876346,13
Blue Rhino Corp,RINO,-0.134615385,14.211,2.654016313,13
"Equity One, Inc.",EQY,-0.147727273,23.638,3.162855587,11
Waddell & Reed Financial,WDR,-0.149456522,241.772,5.487995133,23
GLB Bancorp,GLBK,-0.153846154,4.934,1.596150018,13
Aurora Foods Inc.,AOR,-0.202380952,874.231,6.773344643,21
Lasalle Hotel Properties,LHO,-0.225694444,,,18
Freedom Securities Corp,FSI,-0.23125,398.2,5.986954392,20
DSET Corporation,DSET,-0.234375,19.365,2.963467313,16
Ragen Mackenzie Group,RMGI,-0.241071429,68.887,4.232467481,14
Registry Magic,RMAG,-0.24137931,0.344944,-1.064373194,7.25
Hyperion Telecommunications,HYPT,-0.2421875,95.548,4.559628739,16
NEFF Corp.,NFF,-0.294642857,142.019,4.955960851,14
Hines Horticulture,HORT,-0.295454546,201.256,5.30457773,11
"Barreker-Antinori, Inc.",CANI,-0.323863636,29.072,3.369775512,11
Guaranty Bancshares,GNTY,-0.333333333,8.817,2.176681676,14.25
Tristar Aerospace,TSX,-0.3359375,140.719,4.946764994,16
"Docucorp International, Inc.",DOCC,-0.3359375,38.416,3.648474039,8
