Incurral Year,Development Year,Claim
1995,1,17674
1996,1,18315
1997,1,18606
1998,1,18816
1999,1,20649
2000,1,22327
2001,1,23141
2002,1,24301
2003,1,24210
2004,1,24468
1995,2,32062
1996,2,32791
1997,2,32942
1998,2,33667
1999,2,36515
2000,2,39312
2001,2,40527
2002,2,42168
2003,2,41640
1995,3,38619
1996,3,39271
1997,3,39634
1998,3,40575
1999,3,43724
2000,3,46848
2001,3,48284
2002,3,50356
1995,4,42035
1996,4,42933
1997,4,43411
1998,4,44446
1999,4,47684
2000,4,51065
2001,4,52661
1995,5,43829
1996,5,44950
1997,5,45428
1998,5,46476
1999,5,49753
2000,5,53242
1995,6,44723
1996,6,45917
1997,6,46357
1998,6,47350
1999,6,50716
1995,7,45162
1996,7,46392
1997,7,46681
1998,7,47809
1995,8,45375
1996,8,46600
1997,8,46921
1995,9,45483
1996,9,46753
1995,10,45540
