date,INFBOND
31-Jan-03,2.72
28-Feb-03,2.5
31-Mar-03,2.52
30-Apr-03,2.72
31-May-03,2.4
30-Jun-03,2.27
31-Jul-03,2.64
31-Aug-03,2.8
30-Sep-03,2.67
31-Oct-03,2.57
30-Nov-03,2.4
31-Dec-03,2.31
31-Jan-04,2.24
29-Feb-04,2.15
31-Mar-04,1.93
30-Apr-04,2.28
31-May-04,2.45
30-Jun-04,2.43
31-Jul-04,2.36
31-Aug-04,2.26
30-Sep-04,2.18
31-Oct-04,2.15
30-Nov-04,2.11
31-Dec-04,2
31-Jan-05,1.96
28-Feb-05,1.83
31-Mar-05,1.93
30-Apr-05,1.86
31-May-05,1.8
30-Jun-05,1.77
31-Jul-05,1.96
31-Aug-05,1.98
30-Sep-05,1.89
31-Oct-05,2.05
30-Nov-05,2.11
31-Dec-05,2.09
31-Jan-06,2
28-Feb-06,1.96
31-Mar-06,2.13
30-Apr-06,2.39
31-May-06,2.45
30-Jun-06,2.5
31-Jul-06,2.47
31-Aug-06,2.27
30-Sep-06,2.26
31-Oct-06,2.34
30-Nov-06,2.19
31-Dec-06,2.23
31-Jan-07,2.4
28-Feb-07,2.36
31-Mar-07,2.25
