yearInt,Month,Quarter,value,PerMEDCPI,YEAR,MCPISM4,MCPISM8,MCPISMw_2,MCPISMw_8
1947,3,1,13.3,,1947.166667,,,,
1947,6,1,13.5,1.504,1947.416667,1.504,1.504,1.504,1.504
1947,9,1,13.7,1.481,1947.666667,1.493,1.493,1.486,1.499
1947,12,1,13.9,1.46,1947.916667,1.482,1.482,1.465,1.491
1948,3,1,14.1,1.439,1948.166667,1.471,1.471,1.444,1.481
1948,6,1,14.4,2.128,1948.416667,1.633,1.602,1.991,1.61
1948,9,1,14.5,0.694,1948.666667,1.441,1.451,0.954,1.427
1948,12,1,14.7,1.379,1948.916667,1.426,1.441,1.294,1.418
1949,3,1,14.8,0.68,1949.166667,1.064,1.346,0.803,1.27
1949,6,1,14.8,0,1949.416667,0.891,1.161,0.161,1.016
1949,9,1,14.9,0.676,1949.666667,0.715,1.062,0.573,0.948
1949,12,1,14.9,0,1949.916667,0.545,0.883,0.115,0.758
1950,3,1,14.9,0,1950.166667,0.545,0.617,0.023,0.607
1950,6,1,15,0.671,1950.416667,0.544,0.614,0.541,0.62
1950,9,1,15.2,1.333,1950.666667,0.877,0.608,1.175,0.762
1950,12,1,15.4,1.316,1950.916667,1.206,0.687,1.288,0.873
1951,3,1,15.7,1.948,1951.166667,1.525,0.931,1.816,1.088
1951,6,1,15.8,0.637,1951.416667,1.351,0.926,0.873,0.998
1951,9,1,15.9,0.633,1951.666667,1.18,1.005,0.681,0.925
1951,12,1,16.3,2.516,1951.916667,1.322,1.32,2.149,1.243
1952,3,1,16.5,1.227,1952.166667,1.47,1.389,1.411,1.24
1952,6,1,16.8,1.818,1952.416667,1.766,1.45,1.737,1.355
1952,9,1,16.9,0.595,1952.666667,1.286,1.36,0.824,1.203
1952,12,1,17,0.592,1952.916667,1.127,1.19,0.638,1.081
1953,3,1,17,0,1953.166667,0.673,1.111,0.128,0.865
1953,6,1,17.3,1.765,1953.416667,0.965,1.252,1.437,1.045
1953,9,1,17.5,1.156,1953.666667,1.106,1.082,1.212,1.067
1953,12,1,17.6,0.571,1953.916667,1.249,1,0.7,0.968
1954,3,1,17.7,0.568,1954.166667,0.95,0.844,0.594,0.888
1954,6,1,17.8,0.565,1954.416667,0.802,0.84,0.571,0.823
1954,9,1,17.9,0.562,1954.666667,0.8,0.836,0.564,0.771
1954,12,1,18,0.559,1954.916667,0.797,0.906,0.56,0.729
1955,3,1,18.1,0.556,1955.166667,0.795,0.755,0.556,0.694
1955,6,1,18.2,0.552,1955.416667,0.793,0.68,0.553,0.666
1955,9,1,18.3,0.549,1955.666667,0.79,0.677,0.55,0.642
1955,12,1,18.6,1.639,1955.916667,1.061,0.811,1.422,0.842
1956,3,1,18.7,0.538,1956.166667,1.058,0.807,0.714,0.781
1956,6,1,18.8,0.535,1956.416667,1.054,0.804,0.571,0.732
1956,9,1,19.1,1.596,1956.666667,1.043,0.934,1.391,0.905
1956,12,1,19.2,0.524,1956.916667,1.039,0.93,0.697,0.828
1957,3,1,19.4,1.042,1957.166667,1.166,0.991,0.973,0.871
1957,6,1,19.7,1.546,1957.416667,1.154,1.115,1.432,1.006
1957,9,1,19.8,0.508,1957.666667,1.15,0.974,0.692,0.906
1957,12,1,20.1,1.515,1957.916667,1.268,1.096,1.351,1.028
1958,3,1,20.3,0.995,1958.166667,1.13,1.154,1.066,1.022
1958,6,1,20.6,1.478,1958.416667,1.373,1.139,1.395,1.113
1958,9,1,20.9,1.456,1958.666667,1.358,1.255,1.444,1.181
1958,12,1,21.1,0.957,1958.916667,1.349,1.245,1.054,1.137
1959,3,1,21.3,0.948,1959.166667,1.216,1.17,0.969,1.099
1959,6,1,21.5,0.939,1959.416667,1.087,1.224,0.945,1.067
1959,9,1,21.7,0.93,1959.666667,1.08,1.151,0.933,1.04
1959,12,1,21.8,0.461,1959.916667,0.958,1.084,0.555,0.924
1960,3,1,22.1,1.376,1960.166667,1.068,1.071,1.212,1.014
1960,6,1,22.2,0.452,1960.416667,0.948,0.946,0.604,0.902
1960,9,1,22.4,0.901,1960.666667,1.058,0.939,0.842,0.902
1960,12,1,22.6,0.893,1960.916667,0.938,0.932,0.883,0.9
1961,3,1,22.7,0.442,1961.166667,0.935,0.87,0.531,0.808
1961,6,1,22.9,0.881,1961.416667,0.93,0.864,0.811,0.823
1961,9,1,23.1,0.873,1961.666667,0.925,0.915,0.861,0.833
1961,12,1,23.2,0.433,1961.916667,0.923,0.797,0.518,0.753
1962,3,1,23.4,0.862,1962.166667,0.918,0.849,0.793,0.775
1962,6,1,23.5,0.427,1962.416667,0.807,0.789,0.501,0.705
1962,9,1,23.6,0.426,1962.666667,0.805,0.731,0.441,0.649
1962,12,1,23.8,0.847,1962.916667,0.801,0.782,0.766,0.689
1963,3,1,23.9,0.42,1963.166667,0.799,0.724,0.489,0.635
1963,6,1,24.1,0.837,1963.416667,0.902,0.72,0.767,0.676
1963,9,1,24.2,0.415,1963.666667,0.794,0.717,0.485,0.623
1963,12,1,24.3,0.413,1963.916667,0.792,0.661,0.428,0.581
1964,3,1,24.4,0.412,1964.166667,0.686,0.659,0.415,0.547
