STATE,YEAR,TOT_CHG,COV_CHG,MED_REIB,TOT_D,NUM_DCHG,AVE_T_D,NMSTATE
1,1,2211617271,2170240349,972752944,1932673,230015,8,AL
1,2,2523987347,2468263759,1046016144,1936939,234739,8,AL
1,3,2975969979,2922611694,1205791592,2016354,245027,8,AL
1,4,3194595003,3149745611,1307982985,1948427,243947,8,AL
1,5,3417704863,3384305357,1376211788,1926335,258384,7,AL
1,6,3519375275,3492635576,1466220936,1847216,261738,7,AL
2,1,64747759,62242279,42083051,51923,6636,8,AK
2,2,70600503,67579913,46928596,53051,6940,8,AK
2,3,79428741,76550199,56545125,55191,7646,7,AK
2,4,86246012,84299106,61186949,53329,7610,7,AK
2,5,102223925,99037189,67176460,57672,8229,7,AK
2,6,120791850,117472725,78032690,62699,8940,7,AK
3,1,1383289768,1374105340,757822386,1041898,143096,7,AZ
3,2,1550595128,1536942825,803793774,1029894,142014,7,AZ
3,3,1733592631,1716062864,1053236494,1012724,141404,7,AZ
3,4,1825598787,1806291479,979407958,1026825,138891,7,AZ
3,5,1930534077,1913543120,1155967614,921449,139110,7,AZ
3,6,2077698792,2057819479,887872905,882825,144211,6,AZ
4,1,1034799763,1020252697,543481963,1227307,146888,8,AR
4,2,1207031091,1189168143,663886520,1267630,151291,8,AR
4,3,1359545934,1343197318,719591220,1267359,151716,8,AR
4,4,1376200371,1356393837,702596638,1181400,146745,8,AR
4,5,1501639934,1481812465,746165090,1191862,158095,8,AR
4,6,1541278597,1521832124,769517592,1142475,158283,7,AR
5,1,11265654231,11139079284,5218756976,6432717,849372,8,CA
5,2,13231378196,13019487097,5693007107,6762489,885919,8,CA
5,3,15265191945,15076002113,5976340419,6611724,908593,7,CA
5,4,15762343685,15604563901,6310241944,6173490,894216,7,CA
5,5,16410054592,16221374724,6541840767,5956109,905615,7,CA
5,6,16771706228,16575314237,6557295779,5590243,902479,6,CA
6,1,1004986736,997026197,518737331,845753,102197,8,CO
6,2,1176131999,1163651173,558169832,889535,105890,8,CO
6,3,1363496637,1345896523,630568787,897250,109896,8,CO
6,4,1415371110,1396849063,649936481,813509,108013,8,CO
