PAID_CLM,NPRESCRP,TIME,MONTH,COST_CLM,RATEC_C,SINET,COST,SINE2T,COS2T
992300,68213,1,8,14.54708004,,0.5,0.866025388,0.866025448,0.49999997
1143249,77920,2,9,14.67208672,0.859320164,0.866025448,0.49999997,0.866025388,-0.50000006
935150,63179,3,10,14.80159569,0.882685184,1,-4.37E-08,-8.74E-08,-1
962309,65855,4,11,14.61254311,-1.277244091,0.866025388,-0.50000006,-0.866025448,-0.499999911
1106053,77364,5,12,14.29674053,-2.161175013,0.50000006,-0.866025388,-0.866025448,0.499999911
1043392,72837,6,1,14.32502747,0.197851658,-8.74E-08,-1,1.75E-07,1
1178083,80563,7,2,14.62312698,2.080965042,-0.500000179,-0.866025269,0.866025627,0.499999613
1627172,107502,8,3,15.13620186,3.508651257,-0.866025448,-0.499999911,0.866025269,-0.500000179
1116811,73378,9,4,15.2199707,0.553429127,-1,1.19E-08,-2.38E-08,-1
1277295,81051,10,5,15.75915146,3.542590141,-0.866025448,0.499999911,-0.866025329,-0.500000179
1585927,98674,11,6,16.0723896,1.987659931,-0.499999762,0.866025567,-0.86602515,0.500000477
1165502,72335,12,7,16.11256027,0.249934196,1.75E-07,1,3.50E-07,1
1618570,100019,13,8,16.18262482,0.434839725,0.50000006,0.866025388,0.866025448,0.499999881
1186393,72105,14,9,16.45368576,1.675009727,0.866025627,0.499999613,0.866024971,-0.500000775
1406366,87961,15,10,15.98851776,-2.827137709,1,-3.38E-07,-6.76E-07,-1
1501948,92916,16,11,16.16457939,1.10117197,0.866025269,-0.500000179,-0.866025627,-0.499999583
1478141,88653,17,12,16.67333221,3.1473279,0.499999881,-0.866025448,-0.866025269,0.500000238
1524248,92376,18,1,16.50047684,-1.036715508,-2.38E-08,-1,4.77E-08,1
1789325,106202,19,2,16.8483181,2.108073235,-0.49999994,-0.866025448,0.866025329,0.500000119
1416588,85370,20,3,16.59350967,-1.512366533,-0.866025329,-0.500000179,0.866025567,-0.499999672
1516279,86947,21,4,17.43911743,5.096018314,-1,6.64E-07,-1.33E-06,-1
1855773,103159,22,5,17.98944283,3.155696392,-0.86602515,0.500000477,-0.866025984,-0.499999046
1722487,96752,23,6,17.80311584,-1.035755873,-0.499999613,0.866025627,-0.866024971,0.500000775
1564758,84517,24,7,18.51412201,3.993713856,3.50E-07,1,6.99E-07,1
2129915,113185,25,8,18.81799698,1.641309261,0.500000238,0.866025269,0.866025627,0.499999583
1555434,80963,26,9,19.2116642,2.09196806,0.866025448,0.499999881,0.866025269,-0.500000238
2034188,107260,27,10,18.96501923,-1.283830404,1,-3.58E-08,-7.15E-08,-1
1588815,84524,28,11,18.79720497,-0.884860754,0.866024971,-0.500000775,-0.866026282,-0.49999848
2169687,113201,29,12,19.16667747,1.96557045,0.499999315,-0.866025805,-0.866024613,0.500001371
2226631,117352,30,1,18.97394943,-1.005536318,-6.76E-07,-1,1.35E-06,1
2021538,108724,31,2,18.59329987,-2.006167173,-0.499999672,-0.866025567,0.866025031,0.500000656
