FIRMCOST,ASSUME,CAP,SIZELOG,INDCOST,CENTRAL,SOPH
3.289999962,0.289999992,1,9.550000191,0.319999993,1,25
9.31000042,0.889999986,0,8.039999962,0.330000013,2,24
4.070000172,1.669999957,0,7.900000095,0.340000004,2,15
6.940000057,1.210000038,0,8.100000381,0.340000004,1,16
5.349999905,0.280000001,0,7.739999771,0.090000004,3,18
28.86000061,14.85999966,1,8.159999847,0.419999987,3,25
2.789999962,0.850000024,0,9.470000267,0.409999996,1,11
15,1.470000029,0,8.130000114,0.319999993,1,22
3.890000105,3.470000029,0,7.5,0.529999971,2,18
4.070000172,5.860000134,0,8.550000191,1.220000029,1,27
4.340000153,0.389999986,0,8.079999924,0.25999999,5,26
4.329999924,2.079999924,1,8.010000229,0.340000004,4,11
5.289999962,1.139999986,0,7.590000153,0.419999987,3,20
7.900000095,0.239999995,0,8.520000458,0.330000013,2,22
97.55000305,0.180000007,1,9.31000042,0.620000005,2,17
65,1.269999981,1,6.679999828,1.220000029,2,26
8.510000229,0.230000004,0,8.390000343,0.629999995,2,23
4.309999943,0.5,0,8.859999657,0.419999987,1,19
12.44999981,1.019999981,0,8.300000191,0.319999993,1,11
2.549999952,0.439999998,0,10.11999989,0.340000004,1,17
8.180000305,3.859999895,0,7,0.419999987,3,30
11.28999996,2.980000019,0,7.650000095,0.340000004,1,24
1.25,0.01,0,8.520000458,0.409999996,5,24
11.92000008,1.679999948,0,6.289999962,0.340000004,1,25
0.649999976,0.090000004,0,8.699999809,0.100000001,2,23
3.150000095,0.209999993,1,8.590000153,0.5,2,19
19.37999916,0.340000004,1,7.380000114,0.330000013,1,27
3.75,3.279999971,0,8.069999695,0.330000013,2,23
13.32999992,0.829999983,0,8.010000229,0.529999971,2,18
4.579999924,0.439999998,1,8.479999542,0.340000004,3,18
13.96000004,0.02,1,8.489999771,0.5,3,29
0.280000001,0,0,9.859999657,0.100000001,1,5
6.079999924,0.5,1,7.599999905,0.330000013,3,22
0.939999998,0.01,1,8.159999847,0.330000013,1,18
2.970000029,0.170000002,0,7.449999809,0.100000001,3,25
4.110000134,0.170000002,1,8.409999847,0.330000013,4,25
1.220000029,0.5,1,10.60000038,0.340000004,1,13
6.289999962,0.01,0,9.039999962,0.860000014,2,20
6.119999886,0.050000001,1,8.260000229,0.330000013,4,23
3.50999999,0.330000013,0,9.149999619,0.319999993,1,27
2.160000086,0.899999976,1,8.960000038,0.340000004,2,19
0.360000014,0.07,0,9.949999809,0.340000004,4,22
7.829999924,1.669999957,0,8.010000229,0.25999999,2,25
5.090000153,0.5,0,7,0.330000013,4,26
0.200000003,0.07,1,10.27000046,0.100000001,1,25
8.850000381,1.350000024,0,8.270000458,0.330000013,1,24
0.75999999,0.02,0,10.02000046,0.5,3,19
5.710000038,1.529999971,0,8.159999847,0.25999999,3,24
17.53000069,0.129999995,0,7.309999943,0.860000014,1,18
14,0.629999995,0,8.989999771,0.330000013,4,23
2.059999943,0.330000013,1,9.100000381,0.330000013,1,24
0.930000007,0.790000021,1,9.550000191,0.340000004,2,28
10,0.709999979,0,8.159999847,0.5,1,27
5.820000172,0.289999992,1,8.550000191,0.5,2,9
9.130000114,2.5,0,8.289999962,0.319999993,5,31
9,2.029999971,0,7.599999905,0.5,4,24
12.60999966,61.81999969,1,7.420000076,0.620000005,1,24
2.150000095,0.129999995,0,9.010000229,0.319999993,4,23
22.21999931,0.419999987,0,7.5,0.330000013,1,18
12.71000004,3.420000076,0,7.090000153,0.319999993,2,27
15.97000027,0.790000021,0,8.949999809,0.620000005,3,28
4.320000172,1.899999976,0,8.579999924,0.319999993,3,27
8.489999771,0.289999992,0,8.579999924,0.319999993,1,15
5.25,6.460000038,1,8.289999962,0.419999987,1,11
18.32999992,0.289999992,0,8.699999809,0.860000014,1,25
21.71999931,0.920000017,0,7.5,0.409999996,4,18
0.400000006,0,1,10.35999966,0.409999996,5,21
3.700000048,0.430000007,1,8.170000076,0.340000004,1,17
15,2.920000076,0,7.5,0.340000004,1,14
18,2.299999952,1,9.210000038,0.860000014,3,18
29.12000084,0.790000021,0,7.960000038,0.330000013,1,19
79.30000305,0.50999999,0,5.269999981,0.319999993,4,23
13.56999969,37.13999939,1,7.239999771,0.860000014,3,20
