caldt,vwretd
20000103,-0.009384545
20000104,-0.03843555
20000105,0.0008613558
20000106,-0.002833938
20000107,0.03215128
20000110,0.01133733
20000111,-0.01373855
20000112,-0.00425998
20000113,0.01288228
20000114,0.01064768
20000118,-0.006456841
20000119,0.001443756
20000120,-0.008703869
20000121,-0.002921863
20000124,-0.02721266
20000125,0.006564984
20000126,-0.005048754
20000127,-0.003726567
20000128,-0.02663906
20000131,0.02459213
20000201,0.01110016
20000202,-0.000557278
20000203,0.01211958
20000204,-0.000495334
20000207,0.0006282802
20000208,0.01137901
20000209,-0.02037231
20000210,0.003727771
20000211,-0.02060649
20000214,0.001833462
20000215,0.009353341
20000216,-0.01035186
20000217,-0.000426254
20000218,-0.03000338
20000222,0.004271972
20000223,0.007724709
20000224,-0.005720281
20000225,-0.01472805
20000228,0.01058619
20000229,0.01441446
20000301,0.009355467
20000302,0.001276631
20000303,0.02069571
20000306,-0.01265265
20000307,-0.0267126
20000308,0.008668601
20000309,0.02499184
20000310,-0.004284124
20000313,-0.00783622
20000314,-0.01802391
20000315,0.02429516
20000316,0.04730639
20000317,0.005001197
20000320,-0.005334957
20000321,0.02476937
20000322,0.005092013
20000323,0.01814176
20000324,0.0002550019
20000327,-0.002332664
20000328,-0.01087205
20000329,0.001113841
20000330,-0.01364215
20000331,0.008019551
20000403,0.002777476
20000404,-0.006242423
20000405,-0.004800339
20000406,0.008800695
20000407,0.01014163
20000410,-0.007948935
20000411,-0.002902874
20000412,-0.02167708
20000413,-0.01710092
20000414,-0.05948775
20000417,0.03265662
20000418,0.02876766
20000419,-0.009617979
20000420,0.004310912
20000424,-0.002561635
20000425,0.03449366
20000426,-0.01205696
20000427,0.002974513
20000428,-0.008434441
20000501,0.01081571
20000502,-0.01534739
20000503,-0.02091441
20000504,-0.004425048
20000505,0.01573438
20000508,-0.005775971
20000509,-0.008550341
20000510,-0.02115594
20000511,0.01971379
20000512,0.008338053
20000515,0.02193318
20000516,0.009985672
20000517,-0.01234367
20000518,-0.007533087
20000519,-0.02175977
20000522,-0.004169881
20000523,-0.02005958
20000524,0.01980823
20000525,-0.01338293
20000526,-0.001895938
20000530,0.03232091
20000531,-0.001540259
20000601,0.02040181
20000602,0.01958451
20000605,-0.006688966
20000606,-0.007085343
20000607,0.01040059
20000608,-0.007088311
20000609,-0.003273522
20000612,-0.00771547
20000613,0.01644381
20000614,0.0008629973
20000615,0.005817968
20000616,-0.009550815
20000619,0.01504064
20000620,-0.006656088
20000621,0.001948985
20000622,-0.01817098
20000623,-0.007486342
20000626,0.00976646
20000627,-0.003523068
20000628,0.003558091
20000629,-0.008721123
20000630,0.008313875
20000703,0.009984009
20000705,-0.01637306
20000706,0.008038845
20000707,0.01555893
20000710,-0.002533793
20000711,0.00355316
20000712,0.008806044
20000713,0.002209624
20000714,0.01003849
20000717,0.0004613661
20000718,-0.01098195
20000719,-0.007885857
