FILINGS,POPLAWYR,VEHCMILE,HOSPCOST,GSTATEP,POPDENSY,AGEGROUP,WCMPMAX,URBAN,UNEMPLOY,MEDIANIN,JSLIAB,COLLRULE,CAPS,PUNITIVE,TIME,STATE,State,Population,NumFile
383.80,292,311,631.52,19695,0.90,64.5,1140,45.4,10.0,44017,0,0,0,0,1,1,Alaska,500,
401.50,286,331,693.44,20511,0.90,64.2,1140,45.3,9.7,42897,0,0,0,0,2,1,Alaska,521,2096
441.40,281,294,799.81,17877,0.90,64.5,1108,44.0,10.8,41292,0,1,1,1,3,1,Alaska,533,2344
317.00,275,322,892.02,16994,0.90,63.8,1094,42.4,10.8,47106,0,1,1,1,4,1,Alaska,525,1664
178.50,270,311,961.32,17681,0.90,64.2,700,41.7,9.3,47247,1,1,1,1,5,1,Alaska,523,937
161.50,265,317,995.90,19582,0.90,64.7,700,41.1,6.7,48411,1,1,1,1,6,1,Alaska,527,851
300.50,409,271,525.44,43845,26.90,59.6,204,75.7,5.0,29431,0,0,0,0,1,2,Arizona,3053,9173
340.00,405,281,591.15,49312,27.80,60.2,206,76.3,6.5,32129,0,0,0,0,2,2,Arizona,3187,10748
362.30,401,294,638.99,54269,28.90,60.3,206,75.4,6.9,33477,0,0,0,0,3,2,Arizona,3319,11888
360.90,398,408,710.37,58480,29.90,60.2,253,76.2,6.2,35711,1,0,0,0,4,2,Arizona,3386,12260
588.30,394,486,759.71,62375,30.60,59.9,253,76.4,6.3,36892,1,0,0,0,5,2,Arizona,3489,20490
353.20,390,607,805.33,65306,31.30,59.4,276,79.0,5.2,38347,1,0,0,0,6,2,Arizona,3557,12559
376.60,315,1136,602.51,459905,165.20,63.5,224,95.1,7.8,33711,0,0,0,0,1,3,California,25622,97068
425.20,312,1193,653.70,500538,169.00,63.6,224,95.7,7.2,36223,0,0,0,0,2,3,California,26365,112049
482.30,309,1227,705.18,539307,173.10,63.1,224,95.7,6.7,37655,1,0,0,0,3,3,California,26981,130206
497.00,307,1424,741.91,589311,177.30,63.0,224,95.7,5.8,40218,1,0,0,1,4,3,California,27663,137455
467.40,304,1486,804.16,642309,181.60,62.9,224,95.7,5.3,41425,1,0,0,1,5,3,California,28315,132378
453.80,301,1531,871.80,697381,186.30,62.9,266,95.7,5.1,42813,1,0,0,1,6,3,California,29064,131900
131.70,289,325,425.49,53705,30.70,64.3,316,80.6,5.6,34154,0,0,0,0,1,4,Colorado,3178,4199
140.40,284,344,486.25,56445,31.20,64.4,336,81.2,5.9,35214,0,0,0,0,2,4,Colorado,3231,4537
188.20,279,346,535.92,57506,31.50,64.5,352,81.6,7.4,36026,1,1,1,1,3,4,Colorado,3267,6145
111.30,274,352,591.58,59630,31.80,64.3,358,81.7,7.7,37778,1,1,1,1,4,4,Colorado,3296,3666
136.50,269,359,626.83,62490,31.80,64.2,355,81.7,6.4,39095,1,1,1,1,5,4,Colorado,3301,4506
163.10,264,357,689.35,66180,32.00,64.2,371,81.5,5.8,40265,1,1,1,1,6,4,Colorado,3316,5490
242.60,358,864,440.36,146957,204.70,59.5,307,90.9,6.3,28858,0,0,0,0,1,5,Florida,10976,26815
262.70,361,889,494.09,161750,210.50,60.1,315,91.0,6.0,31364,0,0,0,0,2,5,Florida,11366,29864
291.10,364,881,535.90,176588,216.50,59.8,330,90.9,5.7,33368,1,1,1,1,3,5,Florida,11675,34027
279.60,368,932,582.66,194884,222.70,59.7,344,90.8,5.3,35247,1,1,0,1,4,5,Florida,12023,33622
278.20,371,1007,646.19,212761,228.50,59.5,362,90.8,5.0,37280,1,1,0,1,5,5,Florida,12335,34325
288.90,374,1009,717.60,226964,234.70,59.4,382,90.8,5.6,37399,1,1,0,1,6,5,Florida,12671,36606
155.50,380,1603,383.05,16500,161.10,63.4,291,77.5,5.6,33445,0,0,0,0,1,6,Hawaii,1039,1611
159.60,373,1717,420.11,17642,163.50,63.1,299,77.3,5.6,34636,0,0,0,0,2,6,Hawaii,1054,1676
164.40,366,1750,489.93,19088,165.70,63.4,318,76.9,4.8,36618,1,0,1,0,3,6,Hawaii,1063,1749
165.00,358,1756,512.48,20738,168.50,63.5,334,76.7,3.8,40878,1,0,1,0,4,6,Hawaii,1083,1785
158.40,351,1805,517.16,23183,170.60,63.5,358,76.3,3.2,42353,1,0,1,0,5,6,Hawaii,1099,1736
161.20,344,1899,549.90,25755,173.10,63.4,383,75.5,2.6,44988,1,0,1,0,6,6,Hawaii,1112,1793
172.90,509,113,351.23,12077,12.10,57.0,362,18.9,7.2,25499,0,0,0,0,1,7,Idaho,1001,1729
200.00,493,112,372.60,12547,12.10,56.9,374,19.1,7.9,27383,0,0,0,0,2,7,Idaho,1005,2010
211.20,467,109,402.19,12664,12.10,57.8,386,19.4,8.7,27075,0,0,0,0,3,7,Idaho,1002,2118
175.70,462,113,444.14,13599,12.10,57.9,393,19.6,8.0,29701,1,0,1,1,4,7,Idaho,998,1757
144.90,447,133,456.87,14830,12.10,58.0,404,20.0,5.8,31454,1,0,1,1,5,7,Idaho,1003,1453
145.80,433,137,494.72,16339,12.30,58.1,418,20.4,5.1,33633,1,0,1,1,6,7,Idaho,1014,1478
165.20,447,142,381.81,38642,29.80,59.9,227,49.5,5.2,30330,0,0,0,0,1,8,Kansas,2438,4033
