REGION,COUNTRY,LIFEEXP,ILLITERATE,POP,FERTILITY,PRIVATEHEALTH,PUBLICEDUCATION,HEALTHEXPEND,BIRTHATTEND,PHYSICIAN,SMOKING,RESEARCHERS,GDP,FEMALEBOSS
4,Afghanistan,42.9,72,25.1,7.5,3.7,,19,14,19,,,7.3,
7,Albania,76.2,1.3,3.2,2.2,3.7,2.9,339,98,131,60,,8.4,
1,Algeria,71.7,30.1,32.9,2.5,1,,167,96,113,32,,102.3,
6,Angola,41.7,32.6,16.1,6.8,0.4,2.6,38,45,8,,,32.8,
3,Antigua and Barbuda,73.9,14.2,0.1,,1.4,3.8,516,100,17,,,0.9,45
3,Argentina,74.8,2.8,38.7,2.4,5.3,3.8,1274,99,301,32,720,183.2,33
7,Armenia,71.7,1,3,1.3,4,3.2,226,98,359,62,,4.9,
8,Australia,80.9,1,20.3,1.8,3.1,4.7,3123,100,247,19,3759,732.5,37
8,Austria,79.4,1,8.3,1.4,2.5,5.5,3418,100,338,,2968,306.1,27
7,Azerbaijan,67.1,1.2,8.4,1.7,2.7,2.5,138,88,355,,,12.6,
3,Bahamas,72.3,,0.3,2.1,3.4,3.6,1349,99,105,,,5.5,46
1,Bahrain,75.2,13.5,0.7,2.5,1.3,,871,98,109,15,,12.9,
4,Bangladesh,63.1,52.5,153.3,3.2,2.2,2.5,64,13,26,55,51,60,23
3,Barbados,76.6,,0.3,1.5,2.6,6.9,1151,100,121,,,3.1,43
7,Belarus,68.7,1,9.8,1.2,1.6,6,427,100,455,53,,29.6,
8,Belgium,78.8,1,10.4,1.6,2.8,6.1,3133,100,449,30,3065,370.8,32
3,Belize,75.9,24.9,0.3,3.4,2.4,5.4,339,83,105,,,1.1,41
6,Benin,55.4,65.3,8.5,5.9,2.4,3.5,40,66,4,,,4.3,
4,Bhutan,64.7,53,0.6,2.9,1.6,5.6,93,37,5,,,0.8,
3,Bolivia,64.7,13.3,9.2,4,2.7,6.4,186,67,122,,120,9.3,36
7,Bosnia and Herzegovina,74.5,3.3,3.9,1.3,4.2,,603,100,134,49,,9.9,
6,Botswana,48.1,18.8,1.8,3.2,2.4,10.7,504,94,40,,,10.3,33
3,Brazil,71.7,11.4,186.8,2.3,4,4.4,1520,97,115,22,344,796.1,34
2,Brunei Darussalam,76.7,7.3,0.4,2.5,0.6,,621,99,101,,274,6.4,26
7,Bulgaria,72.7,1.8,7.7,1.3,3.4,4.2,671,99,356,44,1263,26.6,34
6,Burkina Faso,51.4,76.4,13.9,6.4,2.8,4.7,77,38,5,,17,5.2,
6,Burundi,48.5,40.7,7.9,6.8,2.4,5.1,16,25,3,,,0.8,
2,Cambodia,58,26.4,14,3.6,5,1.9,140,32,16,,,6.2,14
6,Cameroon,49.8,32.1,17.8,4.9,3.7,1.8,83,62,19,,,16.9,
8,Canada,80.3,1,32.3,1.5,3,5.2,3173,98,214,22,3597,1113.8,36
6,Cape Verde,71,18.8,0.5,3.8,1.3,6.6,225,89,49,,127,1,
6,Central African Republic,43.7,51.4,4.2,5,2.6,,54,44,8,,47,1.4,
6,Chad,50.4,74.3,10.1,6.5,2.7,2.1,42,14,4,,,5.5,
3,Chile,78.3,4.3,16.3,2,3.2,3.5,720,100,109,48,444,115.2,25
2,China,72.5,9.1,1313,1.7,2.9,1.9,277,97,106,67,708,2234.3,17
3,Colombia,72.3,7.2,44.9,2.5,1.1,4.8,570,96,135,,109,122.3,38
6,Comoros,64.1,,0.8,4.9,1.2,3.9,25,62,15,,,0.4,
6,Congo,54,15.3,3.6,4.8,1.3,2.2,30,86,20,,30,5.1,
