TOT_CHG,HSA,DRG,PAYER,NO_DSCHG,POPLN,NUM_BEDS,INCOME,CHG_NUM
5810558,1,14,1,1164,869000,3256,10355,4991.888184
463455,1,14,2,65,869000,3256,10355,7130.077148
585057,1,14,3,91,869000,3256,10355,6429.197754
5004093,1,89,1,1084,869000,3256,10355,4616.321777
254151,1,89,2,60,869000,3256,10355,4235.850098
629579,1,89,3,133,869000,3256,10355,4733.676758
5702367,1,112,1,624,869000,3256,10355,9138.408203
1078588,1,112,2,137,869000,3256,10355,7872.905273
792587,1,112,3,91,869000,3256,10355,8709.74707
2726246,1,125,1,814,869000,3256,10355,3349.196533
683499,1,125,2,192,869000,3256,10355,3559.890625
456271,1,125,3,143,869000,3256,10355,3190.706299
6879689,1,127,1,1758,869000,3256,10355,3913.361084
141490,1,127,2,41,869000,3256,10355,3450.975586
501835,1,127,3,120,869000,3256,10355,4181.958496
2253185,1,140,1,907,869000,3256,10355,2484.217285
134291,1,140,2,57,869000,3256,10355,2355.982422
219004,1,140,3,102,869000,3256,10355,2147.098145
1177422,1,143,1,592,869000,3256,10355,1988.88855
214993,1,143,2,117,869000,3256,10355,1837.546997
194383,1,143,3,98,869000,3256,10355,1983.5
3664288,1,182,1,1311,869000,3256,10355,2795.032715
372811,1,182,2,138,869000,3256,10355,2701.529053
616784,1,182,3,201,869000,3256,10355,3068.577148
1681072,1,183,1,900,869000,3256,10355,1867.857788
349472,1,183,2,194,869000,3256,10355,1801.4021
410228,1,183,3,229,869000,3256,10355,1791.388672
15021634,1,209,1,1373,869000,3256,10355,10940.73828
1296384,1,209,2,108,869000,3256,10355,12003.55566
939554,1,209,3,87,869000,3256,10355,10799.47168
2469811,1,215,1,474,869000,3256,10355,5210.571777
1060343,1,215,2,216,869000,3256,10355,4908.995605
1804092,1,215,3,326,869000,3256,10355,5534.024414
2661311,1,243,1,1279,869000,3256,10355,2080.774902
321889,1,243,2,181,869000,3256,10355,1778.392212
860435,1,243,3,451,869000,3256,10355,1907.838135
3124750,1,359,1,944,869000,3256,10355,3310.116455
1363508,1,359,2,400,869000,3256,10355,3408.77002
816049,1,359,3,213,869000,3256,10355,3831.216064
3810054,1,371,1,1153,869000,3256,10355,3304.469971
1727220,1,371,2,488,869000,3256,10355,3539.385254
570130,1,371,3,159,869000,3256,10355,3585.723389
6438574,1,373,1,4785,869000,3256,10355,1345.574463
3152122,1,373,2,2374,869000,3256,10355,1327.768311
1052884,1,373,3,800,869000,3256,10355,1316.10498
659433,1,390,1,827,869000,3256,10355,797.3796997
397158,1,390,2,465,869000,3256,10355,854.1032104
