hospID,CRYEAR,TPY,NUMBED,SQRFOOT,MSA,URBAN,PRO,TAXEXEMPT,SELFFUNDINS,MCERT,ORGSTR
101,2000,16.48087432,18,10.861,0,0,0,1,0,0,2
103,2000,59.24590164,63,19.782,0,0,0,0,1,1,3
105,2000,49.63661202,54,26.868,1,1,1,0,1,1,1
107,2000,51.87431694,60,26.319,0,0,0,1,1,1,2
108,2000,94.56010929,104,30.7,10,1,1,0,0,1,1
109,2000,69.70491803,79,24.27,11,1,1,0,0,1,1
110,2000,95.56830601,105,34.365,11,1,1,0,0,1,1
111,2000,95.15300546,129,52.125,6,1,1,0,1,1,1
112,2000,193.1639344,200,71.805,10,1,0,1,1,1,2
113,2000,156.3606557,184,63.377,6,1,0,1,0,1,2
114,2000,92.17759563,101,39.014,0,0,1,0,1,1,1
116,2000,45.51092896,56,22.088,3,1,0,0,0,1,3
118,2000,73.28142077,81,40.245,13,1,0,1,1,1,2
120,2000,104.7459016,110,33.577,13,1,1,0,1,1,1
140,2000,45.40983607,50,16.571,0,0,1,0,0,1,1
141,2000,48.07103825,50,,0,0,0,1,0,0,2
142,2000,41.00546448,50,18.348,0,0,1,0,0,0,1
143,2000,73.31420765,75,43.266,0,0,0,1,1,1,2
144,2000,25.1147541,26,20.436,0,0,0,1,0,1,2
145,2000,90.06557377,99,40.947,0,0,1,0,1,1,1
146,2000,121.1775956,123,100,0,0,0,1,1,1,2
147,2000,23.62021858,26,23,12,1,1,0,0,1,1
151,2000,216.4699454,196,79.151,13,1,1,0,0,1,1
153,2000,74.95081967,92,62.91,0,0,0,1,0,1,2
154,2000,117.3825137,119,69.764,0,0,0,1,1,1,2
155,2000,179.0245902,196,88.818,4,1,0,1,0,1,2
156,2000,84.70218579,91,33.969,13,1,1,0,1,1,1
157,2000,104.8989071,111,50.412,0,0,1,0,0,1,1
158,2000,109.5655738,121,60.076,0,0,0,1,1,1,2
159,2000,192.8196721,200,169.935,10,1,0,1,1,1,2
162,2000,70.10928962,80,36.546,0,0,1,0,1,1,1
163,2000,44.80327869,50,29.847,6,1,0,1,0,1,2
164,2000,58.31693989,64,40.045,3,1,0,1,0,1,2
165,2000,73.58743169,87,39.722,0,0,0,0,1,1,3
167,2000,104.7213115,115,51.429,11,1,1,0,0,1,1
168,2000,180.0901639,198,78.679,13,1,1,0,1,1,1
170,2000,153.2322404,154,88.566,9,1,0,0,0,1,3
173,2000,92.06557377,100,39.883,0,0,0,1,1,1,2
174,2000,51.89071038,53,13.34,0,0,0,1,0,1,2
176,2000,120.2377049,123,74.412,4,1,0,1,0,1,2
201,2000,108.6830601,110,40.794,8,1,0,1,0,0,2
202,2000,93.40983607,101,52.39,10,1,0,0,1,1,3
203,2000,107.1885246,112,36.619,13,1,1,0,1,1,1
204,2000,87.84153006,94,33.161,0,0,0,1,1,1,2
207,2000,117.6311475,125,56.459,0,0,1,0,1,1,1
208,2000,92.12616822,118,91.805,7,1,1,0,1,0,1
209,2000,92.85519126,95,103.655,7,1,0,1,0,1,2
212,2000,71.215847,72,39.72,2,1,1,0,1,1,1
213,2000,68.15492958,76,38.818,10,1,1,0,1,1,1
214,2000,314.6994536,320,207.925,3,1,1,0,1,1,1
216,2000,88.90983607,90,33.306,3,1,1,0,1,1,1
217,2000,54.59016393,58,47.729,0,0,0,1,1,1,2
218,2000,78.74590164,80,33.516,0,0,0,1,1,1,2
