"pop","sales"
435,1285.4
4823,3571.45
2469,2407.0375
2051,1223.825
13337,15046.4
17004,9128.725
38283,33181.4
9859,2242.9875
4464,21587.8
20958,15693.275
37036,18388.8375
5825,6208.5625
591,363.4875
7309,7160.1625
7193,2946.3375
2540,2411.975
6537,2890.975
717,286.1125
4859,2344.025
877,343.775
1217,2001.0875
22430,10312.475
16297,15866.3125
6711,4055.625
3708,1166.6
2066,591.6
1680,642.3875
39098,30646.9375
16149,11977.25
16768,8801.025
27273,14545.65
2885,2566.125
2072,327.8
7312,6205.0125
2002,922.275
3867,2201.1375
1241,300.075
1057,670.9
1177,906.7375
1952,792.8375
2271,543.575
2309,2029.6125
16435,15962.8
31593,18977.425
6410,2440.8375
1752,480.6625
4347,2724.9625
1765,400.6
280,189
34261,16779.575
