"pop","sales","medhome"
435,1285.4,71.3
4823,3571.45,98
2469,2407.0375,58.7
2051,1223.825,65.7
13337,15046.4,96.7
17004,9128.725,66.4
38283,33181.4,91
9859,2242.9875,61
4464,21587.8,91.5
20958,15693.275,68.8
37036,18388.8375,120
5825,6208.5625,49.4
591,363.4875,37.5
7309,7160.1625,60.9
7193,2946.3375,71.1
2540,2411.975,58.4
6537,2890.975,45
717,286.1125,35.4
4859,2344.025,43.7
877,343.775,39.6
1217,2001.0875,45.9
22430,10312.475,68.8
16297,15866.3125,44
6711,4055.625,37.1
3708,1166.6,55.3
2066,591.6,52.3
1680,642.3875,52.1
39098,30646.9375,52.5
16149,11977.25,66.5
16768,8801.025,47.2
27273,14545.65,59
2885,2566.125,51.3
2072,327.8,35.5
7312,6205.0125,56.4
2002,922.275,36.1
3867,2201.1375,58.9
1241,300.075,41.3
1057,670.9,60.9
1177,906.7375,34.5
1952,792.8375,44.7
2271,543.575,43.3
2309,2029.6125,38.4
16435,15962.8,68.3
31593,18977.425,68.3
6410,2440.8375,46.4
1752,480.6625,49.6
4347,2724.9625,40.7
1765,400.6,58.3
280,189,39.2
34261,16779.575,71.7
