CL,YR,PR,LOSS
1,1,21798086,538707
1,2,22640528,439184
1,3,22572010,1059775
1,4,24789710,560013
1,5,25876764,1004997
1,6,28033613,1097314
1,7,22525887,609833
2,1,12004031,270222
2,2,12713178,229566
2,3,13596610,596850
2,4,14811727,196539
2,5,12774073,134248
2,6,20245789,489312
2,7,24242468,418218
3,1,50216515,769208
3,2,56099793,649707
3,3,58109747,503919
3,4,67807105,675466
3,5,73852437,545745
3,6,84208474,1562266
3,7,83604216,931762
4,1,19507341,291125
4,2,20810822,499927
4,3,23838122,151084
4,4,24212193,141910
4,5,25367578,300373
4,6,35401344,119761
4,7,37580989,141300
5,1,12428727,377662
5,2,13492474,169574
5,3,13303600,243585
5,4,13228920,61215
5,5,14060473,55272
5,6,15227696,312816
5,7,17857683,160196
6,1,6829432,623029
6,2,6219655,280707
6,3,5696577,174422
6,4,4542884,176666
6,5,3663628,153907
6,6,2632086,101874
6,7,1932376,0
8,1,3724269,0
8,2,4149906,18082
8,3,3696872,408802
8,4,487892,10500
8,5,594629,0
8,6,560057,0
8,7,724571,37500
9,1,2494260,11234
9,2,3394857,42146
9,3,3314038,86599
9,4,10595191,41500
9,5,12863955,115592
9,6,2789484,0
9,7,2426480,170623
10,1,3140245,78436
10,2,3964679,47501
10,3,4899610,51499
10,4,5247896,144621
10,5,6280799,8998
10,6,7721616,259875
10,7,9324806,548369
11,1,30035148,383658
11,2,32618878,420764
11,3,36071278,588094
11,4,42494763,717523
11,5,49524793,1133547
11,6,48872610,1372065
11,7,40636397,601273
12,1,211719199,2140846
12,2,232681695,2382040
12,3,230007534,2929906
12,4,234635378,3165114
12,5,251852677,3595126
12,6,207512194,4284873
12,7,215038202,2739517
13,1,22525133,389158
13,2,23545828,374650
13,3,24979337,684493
13,4,27390359,143933
13,5,27337832,1236701
13,6,28268401,734178
13,7,25281128,850133
14,1,11939588,348156
14,2,10566079,331977
14,3,19387104,116060
14,4,23062327,266805
14,5,23089131,310604
14,6,23799825,278189
14,7,21317594,79680
15,1,28171269,1238292
15,2,32008767,576512
15,3,31300733,831404
15,4,33507831,1303705
15,5,32207902,673907
15,6,23471988,605122
15,7,24101833,664457
16,1,24766193,348918
16,2,26078216,370878
16,3,30044642,679015
